web_pid,pdp_title_value,price_sp,pdp_rating_value,pdp_rating_count,pdp_page_url
B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),499,4.3,13254,https://www.amazon.in/wesley-milestone-2-0-casual-waterproof-laptop-backpack-office-bag-school-bag-college-bag-business-bag-travel-backpack-dimensions-13x18-inches-compatible-with-15-6-inch-laptop-30-l-blue-black/dp/B084JGJ8PF
B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,799,4.3,6894,https://www.amazon.in/fur-jaden-brown-textured-leatherette-stylish-spacious-weekender-duffle-bag-for-travel/dp/B07M9BRCQ5
B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),1098,4.0,56370,https://www.amazon.in/american-tourister-fizz-large-size-32-ltrs-casual-backpack-black/dp/B07CJCGM1M
B07MXL986B,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,374,3.9,4295,https://www.amazon.in/adisa-32-ltrs-water-resistant-casual-travel-bagpack-college-backpack-school-office-bag-for-men-and-women/dp/B07MXL986B
B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,689,4.1,1959,https://www.amazon.in/wesley-spartan-unisex-travel-hiking-laptop-bag-fits-upto-17-3-inch-with-raincover-and-internal-organiser-backpack-rucksack-college-bag/dp/B098QFF5TJ
B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",449,4.4,5288,https://www.amazon.in/lenovo-15-6-39-62cm-slim-everyday-backpack-made-in-india-compact-water-resistant-organized-storage-laptop-sleeve-tablet-pocket-front-workstation-2-side-pockets-padded-adjustable-shoulder-straps/dp/B08R7RPVJF
B09QJ7ZF2Y,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),529,3.7,2775,https://www.amazon.in/true-human-emperor-r-anti-theft-backpack-with-usb-charging-port-laptop-bag-office-bag-college-bag-travel-bag-with-anti-theft-back-pocket-legend/dp/B09QJ7ZF2Y
B085S444JV,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",499,4.3,13254,https://www.amazon.in/wesley-milestone-2-0-casual-waterproof-laptop-backpack-office-bag-school-bag-college-bag-business-bag-travel-backpack-dimensions-13x18-inches-compatible-with-15-6-laptop-30-l-charcoal-black/dp/B085S444JV
B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",649,4.1,6693,https://www.amazon.in/fur-jaden-anti-theft-number-lock-backpack-bag-with-15-6-inch-laptop-compartment-usb-charging-port-organizer-pocket-for-men-women-boys-girls/dp/B09VTDMRY7
B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,3857,https://www.amazon.in/half-moon-large-37l-laptop-bag-backpack-for-menn-women-boys-and-girls-luggage-travel-bags-with-17-3-inches-laptop-compartment-rain-cover/dp/B09VCLZ3K4
B097JH4V5G,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",699,4.0,161,https://www.amazon.in/safari-omega-30l-laptop-backpack-with-raincover-school-bag-for-boys-and-girls-college-bag-office-bag-travel-bag-for-men-and-women-teal/dp/B097JH4V5G
B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",399,3.9,17623,https://www.amazon.in/half-moon-35l-water-resistant-15-6-inch-laptop-bag-backpack-navy-blue-office-bag-for-men-and-women-with-padded-laptop-compartment-rain-cover-reflective-strips/dp/B085MHDJ93
B07XXFB9CZ,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),365,4.3,8419,https://www.amazon.in/sfane-polyester-23cms-duffle-shoulder-gym-bag-for-men-women-with-separate-shoe-compartment-grey/dp/B07XXFB9CZ
B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,3857,https://www.amazon.in/half-moon-large-37l-laptop-bag-backpack-for-menn-women-boys-and-girls-luggage-travel-bags-with-17-3-inches-laptop-compartment-rain-cover/dp/B0BJ32LQ6X
B09VTCNN75,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",639,4.1,6693,https://www.amazon.in/fur-jaden-anti-theft-number-lock-backpack-bag-with-15-6-inch-laptop-compartment-usb-charging-port-organizer-pocket-for-men-women-boys-girls/dp/B09VTCNN75
B0821PN8L4,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black)",289,4.4,35935,https://www.amazon.in/amazon-brand-presto-oxo-biodegradable-garbage-bags-medium-19-x-21-inches-30-bags-roll-pack-of-6-black/dp/B0821PN8L4
B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,2299,4.5,7744,https://www.amazon.in/safari-seek-45-ltrs-overnighter-expandable-travel-laptop-backpack/dp/B07BZ5VC4H
