web_pid,pdp_title_value,price_sp,pdp_rating_value,pdp_rating_count,pdp_page_url,Description,ASIN,Product Description,Manufacturer
B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,689,4.1,1959,https://www.amazon.in/wesley-spartan-unisex-travel-hiking-laptop-bag-fits-upto-17-3-inch-with-raincover-and-internal-organiser-backpack-rucksack-college-bag/dp/B098QFF5TJ,             ,B098QFF5TJ,                                  Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag              ,
B07MXL986B,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,374,3.9,4295,https://www.amazon.in/adisa-32-ltrs-water-resistant-casual-travel-bagpack-college-backpack-school-office-bag-for-men-and-women/dp/B07MXL986B,             ,B07MXL986B,,
B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,799,4.3,6894,https://www.amazon.in/fur-jaden-brown-textured-leatherette-stylish-spacious-weekender-duffle-bag-for-travel/dp/B07M9BRCQ5,             ,B0848GJB64,"                                  Get your globe-trotting in full swing with this handy duffel bag, while also carrying your basic essentials. The minimalistic design allows the millennial in you to travel anywhere without any hassles. This versatile duffel bag from Fur Jaden can be carried in your hand or on your shoulders using a Shoulder Strap provided with the Bag. Fret not on your escapades as this will bear the wear and tear of persistent use in the long run. This sturdy duffel bag from Fur Jaden can be taken along with you for those business trips or weekend getaway. The minimalistic design of this duffel bag from Fur Jaden enhances the durable looks of it. Making it so sophisticated yet the versatile functionality of it creates an endless list of possibilities to carry about will keep the on-lookers admiring. Pack your stuff and go on a whimsical adventure to complete your bucket list. For those surprise plans, just grab your valuables and essentials and you will be good to go.              ",
B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",449,4.4,5288,https://www.amazon.in/lenovo-15-6-39-62cm-slim-everyday-backpack-made-in-india-compact-water-resistant-organized-storage-laptop-sleeve-tablet-pocket-front-workstation-2-side-pockets-padded-adjustable-shoulder-straps/dp/B08R7RPVJF,     ,B08R7RPVJF ,,"‎Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India "
B097JH4V5G,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",699,4.0,161,https://www.amazon.in/safari-omega-30l-laptop-backpack-with-raincover-school-bag-for-boys-and-girls-college-bag-office-bag-travel-bag-for-men-and-women-teal/dp/B097JH4V5G,             ,B097JH4V5G,"                                  Safari Omega is a multi-purpose 2 compartment spacious laptop backpack suitable for office, travel, school. It comes with 2 front pockets and an organizer. The compression straps make your travelling comfortable by restricting the movement of items inside the backpack. It also comes with a rain cover ensuring protection throughout the year. Reflective strips will provide assistance during night travel. All in all it's a fully packed product that caters to all your daily travel needs.              ",
B09QJ7ZF2Y,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),529,3.7,2775,https://www.amazon.in/true-human-emperor-r-anti-theft-backpack-with-usb-charging-port-laptop-bag-office-bag-college-bag-travel-bag-with-anti-theft-back-pocket-legend/dp/B09QJ7ZF2Y,             ,B09QJ7ZF2Y,,
B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),1098,4.0,56370,https://www.amazon.in/american-tourister-fizz-large-size-32-ltrs-casual-backpack-black/dp/B07CJCGM1M,     ,B07CJCGM1M ,,‎Samsonite 
B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",649,4.1,6693,https://www.amazon.in/fur-jaden-anti-theft-number-lock-backpack-bag-with-15-6-inch-laptop-compartment-usb-charging-port-organizer-pocket-for-men-women-boys-girls/dp/B09VTDMRY7,             ,B09VTDMRY7,"                                  Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.              ",
B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,3857,https://www.amazon.in/half-moon-large-37l-laptop-bag-backpack-for-menn-women-boys-and-girls-luggage-travel-bags-with-17-3-inches-laptop-compartment-rain-cover/dp/B09VCLZ3K4,             ,B09VCLZ3K4,"                                  This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.              ",
B085S444JV,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",499,4.3,13254,https://www.amazon.in/wesley-milestone-2-0-casual-waterproof-laptop-backpack-office-bag-school-bag-college-bag-business-bag-travel-backpack-dimensions-13x18-inches-compatible-with-15-6-laptop-30-l-charcoal-black/dp/B085S444JV,     ,B085S444JV ,,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 "
